Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
73	-32.480755	10.44605	-20.258436	-60.82827	27.0	-35.127388	0.67315024	-31.755875	-35.262646	44400	3.774961e-09	116.31928	-0.031593796	-1.5483322	1.6567004	0.0057150503	0.17833333	79.0	47.45216178894043
74	-69.65889	174.51176	-20.030588	-886.4	25.956522	-34.808144	0.6805698	-31.474106	-34.94781	45000	6.357829e-09	1363.5894	-0.012901926	-0.64404297	1.7577193	0.010418805	0.07666667	79.0	48.10825848579407
75	-32.386528	9.082111	-20.828415	-54.52901	27.0	-34.707397	0.6350394	-31.526775	-34.835064	45600	-3.6358834e-08	88.12104	-0.015009618	-1.0091019	1.621416	0.016778164	0.12166667	11.0	48.65928387641907
76	-30.06606	9.425695	-18.405252	-59.36422	27.045454	-34.4744	0.6264581	-31.336761	-34.600372	46200	2.3841858e-08	108.64716	-0.010849438	-3.8511124	1.5851468	0.016662247	0.048333332	10.0	49.21349215507507
77	-30.836576	7.2444167	-21.219625	-48.130566	26.90909	-34.00453	0.6186941	-30.905764	-34.128872	46800	-1.9073486e-08	62.174595	-0.020668162	-2.3003387	1.6636903	0.015718423	0.12833333	36.0	49.70333766937256
78	-28.200218	8.7345295	-18.521559	-53.47164	27.045454	-33.617756	0.6116993	-30.554028	-33.740704	47400	4.6690307e-08	105.65711	-0.033144146	-6.3049774	1.6073196	0.006370756	0.125	79.0	50.316139221191406
79	-30.506311	6.5031486	-18.540224	-46.529312	27.136364	-32.990536	0.60196906	-29.97553	-33.111454	48000	4.172325e-08	48.638706	-0.02776585	-1.5695572	1.7209164	0.01581938	0.26666668	23.0	50.85327863693237
80	-27.782722	7.631268	-20.357233	-50.96861	27.0	-32.64537	0.59532136	-29.663683	-32.765087	48600	6.9538753e-09	81.45677	-0.0067140902	-5.460022	1.6306137	0.022146821	0.075	4.0	51.703537702560425
81	-26.46302	4.911736	-19.518324	-41.52011	27.045454	-32.04149	0.58561575	-29.108412	-32.159286	49200	-6.755193e-08	55.226093	-0.016682802	-7.636204	1.5989003	0.021218004	0.21166667	9.0	52.23271441459656
82	-29.697521	7.9491987	-19.647552	-49.8716	26.954546	-31.299255	0.57416916	-28.423515	-31.414787	49800	-3.1789145e-09	64.88956	-0.011957794	-0.8304291	1.5812453	0.020090958	0.245	4.0	52.7764687538147
83	-30.444073	9.684216	-20.419216	-63.796738	26.954546	-31.019785	0.5681813	-28.173996	-31.13385	50400	5.165736e-09	93.10675	-0.0075488696	-0.114494324	1.6109513	0.01662899	0.083333336	5.0	53.343700647354126
84	-31.928797	10.072735	-19.895866	-60.103226	27.09091	-30.918425	0.5641991	-28.092636	-31.032019	51000	-3.0994414e-08	102.03707	-0.015121611	-0.25593567	1.5697902	0.016192341	0.165	16.0	53.92466688156128
85	-66.52246	175.01675	-18.276634	-886.4	25.869566	-31.046211	0.5746946	-28.230885	-31.164368	51600	-9.536743e-09	1310.7426	-0.011996424	-0.54504395	1.6078987	-0.00027019932	0.07666667	79.0	54.62023043632507
86	-28.440987	8.416246	-19.577835	-58.730473	27.045454	-31.007513	0.5294343	-28.355833	-31.114033	52200	-2.0662943e-08	78.21873	-0.014779164	-1.7545013	1.6020614	0.017689029	0.071666665	9.0	55.213765382766724
87	-65.02201	175.33809	-20.38361	-886.4	25.913044	-30.62471	0.5296587	-28.030022	-30.73371	52800	-6.357829e-09	1316.5891	-0.01196508	-1.2600098	1.5707774	-0.0007048889	0.11333334	79.0	55.752938985824585
88	-28.126226	7.4913263	-19.497536	-53.578823	27.0	-30.34947	0.48558384	-27.917442	-30.447342	53400	-1.6291937e-08	60.702877	-0.022425815	-1.5275574	1.5148671	0.01712363	0.195	19.0	56.28792929649353
